"activity_main","","","","","","","","","","","","","","","","活动开启时不允许调时间","","","","","",""
"id","type","manifest","atlas","icon","name","description_big","description","activity_center_tag_type","is_list","is_msg_box","msg_box_rank","date_type","start_week","start_day","start_time","end_day","interval","priority","display_date","scope_type","iap_package_group_id",""
"id","活动类型","图集的包名","图集","图标id","名称多语言key","推荐列表描述","活动弹窗描述","活动中心页签类型","是否在推荐列表里","活动当天登录是否弹窗","活动弹窗显示排序","开启时间类型","第几周开启活动","开启日期/相对开服日期","开启时间","持续时间/天  ","间隔/周 活动结束后间隔多少周再次开启本活动","开启时间相同的优先级","提前几天玩家能看见","活动目标类型","对应活动礼包id","备注"
"STR","STR","STR","STR","STR","STR","STR","STR","STR","BOOL","BOOL","INT","INT","INT","INT","STR","INT","INT","INT","INT","INT","STR",""
"activity_score_1","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","2","9999","7","","7","1","10400","14","1","",""
"activity_score_2","score_active","Activity","Activity","icon_event_01","event_points_event_2_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","1","9999","999","","5","99999","10400","14","1","iap_package_goldevent_group",""
"event_zombie_hunter_3","zombie_hunter","Activity","Activity","icon_event_02","id_zombie_hunter_track_title","id_zombie_hunter_track_coordinates_fight","id_event_time_task_kill_monsters_to_captain","activity_center_tag_hot","1","1","1","1","9999","999","","3","0","30200","1","1","",""
"activity_score_3","score_active","Activity","Activity","icon_event_building","event_points_building_name","event_points_description","event_points_building_long_description","activity_center_tag_race","1","1","1","2","9999","7","","2","99999","10400","1","1","iap_package_goldevent_construction",""
"activity_score_4","score_active","Activity","Activity","icon_event_train","event_points_train_name","event_points_description","event_points_train_long_description","activity_center_tag_race","1","1","1","2","9999","7","","2","99999","10400","1","1","",""
"activity_score_5","score_active","Activity","Activity","icon_event_research","event_points_research_name","event_points_description","event_points_research_long_description","activity_center_tag_race","1","1","1","2","9999","7","","2","99999","10400","1","1","",""
"activity_score_6","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","2","9999","7","","7","1","10400","14","1","",""
"activity_score_7","score_active","Activity","Activity","icon_event_gorilla","event_points_gorilla_name","event_gold_event_gorilla_description","event_gold_event_gorilla_description","activity_center_tag_race","1","1","1","2","9999","7","","2","99999","10400","1","1","",""
"activity_score_8","score_active","Activity","Activity","icon_event_hero","event_points_hero_name","event_gold_event_hero_description","event_gold_event_hero_description","activity_center_tag_race","1","1","1","2","9999","7","","2","99999","10400","1","1","",""
"activity_short_term_goal_main_1","short_term_goal","Activity","Activity","icon_event_short_goal_build","event_glory_past_get_points_task_name_2","event_glory_past_get_points_task_description_2","event_glory_past_get_points_task_description_2","activity_center_tag_hot","1","0","0","2","9999","7","","2","1","30600","0","1","",""
"activity_short_term_goal_main_2","short_term_goal","Activity","Activity","icon_event_short_goal_research","event_glory_past_get_points_task_name_6","event_glory_past_get_points_task_description_6","event_glory_past_get_points_task_description_6","activity_center_tag_hot","1","0","0","2","9999","7","","2","3","30600","0","1","",""
"activity_short_term_goal_main_3","short_term_goal","Activity","Activity","icon_event_short_goal_gorilla","event_glory_past_get_points_task_name_7","event_glory_past_get_points_task_description_7","event_glory_past_get_points_task_description_7","activity_center_tag_hot","1","0","0","2","9999","7","","2","3","30600","0","1","",""
